FECHA,TMAX,TMIN,NOMBRE
28042021,23.6,8,CERES AERO
28042021,26.2,10.2,CHAMICAL AERO
28042021,21,-0.2,CHAPELCO AERO
28042021,26.4,13.5,CHEPES
28042021,26.2,9,CHILECITO AERO
28042021,24,6.4,CIPOLLETTI
28042021,20.3,11.5,COMODORO RIVADAVIA AERO
28042021,22.4,8,CONCORDIA AERO
28042021,26.6,6,CORDOBA AERO
28042021,26.6,9.8,CORDOBA OBSERVATORIO
28042021,25.1,10.5,CORONEL PRINGLES AERO
28042021,24.4,7,CORONEL SUAREZ AERO
28042021,22.5,10.5,CORRIENTES AERO
28042021,24.2,7.6,DOLORES AERO
28042021,17.8,11.4,EL BOLSON AERO
28042021,10.9,5,EL CALAFATE AERO
28042021,23.8,6.4,EL PALOMAR AERO
28042021,24.8,10.8,EL TREBOL
28042021,25.2,6.6,ESCUELA DE AVIACION MILITAR AERO
28042021,13,7.4,ESQUEL AERO
28042021,23.8,8,EZEIZA AERO
28042021,23.3,10.1,FORMOSA AERO
28042021,27,11.1,GENERAL PICO AERO
28042021,14,7.5,GOBERNADOR GREGORES AERO
28042021,24.1,8.5,GUALEGUAYCHU AERO
28042021,24.6,8.5,IGUAZU AERO
28042021,24,9,ITUZAINGO
28042021,26.5,6.6,JACHAL
28042021,23.6,9.3,JUJUY AERO
28042021,21,9.9,JUJUY U N
28042021,25.6,7.5,JUNIN AERO
28042021,23.3,9.1,LA PLATA AERO
28042021,15.5,-1.5,LA QUIACA OBSERVATORIO
28042021,27.5,11.9,LA RIOJA AERO
28042021,26.6,8.3,LABOULAYE AERO
28042021,24.7,9.6,LAS FLORES
28042021,25.3,12,LAS LOMITAS
28042021,22.8,2.6,MALARGUE AERO
28042021,22.6,8.5,MAQUINCHAO
28042021,24.4,8.4,MAR DEL PLATA AERO
28042021,25.2,7,MARCOS JUAREZ AERO
28042021,23.5,7.6,MARIANO MORENO AERO
28042021,25.8,10.1,MENDOZA AERO
28042021,,9.7,MENDOZA OBSERVATORIO
28042021,22,10,MERCEDES AERO (CTES)
28042021,23.4,9.8,MERLO AERO
28042021,24.2,10.5,METAN
28042021,23.4,9.3,MONTE CASEROS AERO
28042021,23.8,10.5,MORON AERO
28042021,23.7,5.7,NEUQUEN AERO
28042021,25.6,8.6,NUEVE DE JULIO
28042021,23.5,9,OBERA
28042021,23.5,7.9,OLAVARRIA AERO
28042021,26.5,13.2,ORAN AERO
28042021,23.3,9.8,PARANA AERO
28042021,17.4,4.9,PASO DE INDIOS
28042021,21.7,8.9,PASO DE LOS LIBRES AERO
28042021,25.7,8.2,PEHUAJO AERO
28042021,14.6,8.7,PERITO MORENO AERO
28042021,23.2,8.3,PIGUE AERO
28042021,25.5,7,PILAR OBSERVATORIO
28042021,23.5,11.9,POSADAS AERO
28042021,23.1,7,PRESIDENCIA ROQUE SAENZ PEÑA AERO
28042021,18,5.8,PUERTO DESEADO AERO
28042021,21.6,12.2,PUERTO MADRYN AERO
28042021,23.5,11,PUNTA INDIO B.A.
28042021,24,9.5,RAFAELA AERO
28042021,24,9.9,RECONQUISTA AERO
28042021,23.7,8.4,RESISTENCIA AERO
28042021,26.8,11.8,RIO COLORADO
28042021,25.5,9.2,RIO CUARTO AERO
28042021,13,2.8,RIO GALLEGOS AERO
28042021,9,-0.8,RIO GRANDE B.A.
